Name,Level,School,Spell_Type,Target,Casting_Time,Conc,Ritual,Duration,Range,Components,Scales_with_level,,Origin,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Other,Professional,Cursed,Feyblood,Web_Description
Hellish Rebuke,1,Evocation,"Damage, Fire",1 target,"1 reaction, which you take in response to being damaged by a creature within 60 feet of you that you can see",No,No,Instantaneous,60 ft,"V, S",Yes,,PHB,Baator,"Order,Vengeance",No,No,No,No,"Abraxas,Ashen Wolf,Eternal Citadel,Fallen Exile,Fiend,Great Old One,Hesperia,Pharaoh,Seducer,Shadowcat,Weaver of Lies",No,"Barbarian - Abyssal Bloodrager,Barbarian - Infernal Bloodrager",No,Demonic,No,"You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a Dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st."
Hero's Defiance,1,Evocation,Healing,Self,"Reaction, when reduced to 0 hp",No,No,Instantaneous,Self,V,Yes,,"New,2016-08-04",No,No,No,Yes,No,No,No,No,No,No,No,No,"The instant before you are reduced to 0 or fewer hit points, you can expend a use of your lay on hands ability to heal yourself as if you had used lay on hands, + an additional 1d4 + your spellcasting ability modifier.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st."
Heroes' Feast,6,Conjuration,"Healing, Protection",In range,10 minutes,No,No,1 hour,30 ft,"V, S, M (a gem -encrusted bowl worth at least 1,000 gp, which the spell consumes)",No,,PHB,"Awakened art,Grandeur,Warrior poet","Agriculture,Celebration,Chaos,Charm,Desert,Leadership,Life,Ocean,Repose,Survival,War,Dwarven rune",Yes,No,No,"Autumnal,Divine soul",No,No,No,Cook,No,Sidhe,"You bring forth a great feast, including magnificent food and drink. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don’t set in until this hour is over. Up to twelve other creatures can partake of the feast.<br>&nbsp; A creature that partakes of the feast gains several benefits. The creature is cured of all diseases and poison, becomes immune to poison and being frightened, and makes all Wisdom saving throws with advantage. Its hit point maximum also increases by 2d10, and it gains the same number of hit points. These benefits last for 24 hours."
Heroism,1,Enchantment,Protection,1 target,Action,Yes,No,1 minute,Touch,"V,S",Yes,,PHB,Yes,"Leadership,War",No,"Yes,Courage,Supremacy",No,Wishcrafter,Eternal Citadel,No,No,"Archaeologist,Psychologist",No,Sidhe,"A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st."
Hex,1,Enchantment,"Debuff, Curse, Necrotic",1 target,Bonus action,Yes,No,1 hour,90 ft,"V, S, M (the petrified eye of a newt)",Yes,,PHB,No,Fate,No,No,No,Dread,"Archfey,Crone,Death,Dispater,Emergent Mind,Hesperia,Pharaoh,Seducer,Shadowcat,Undying,Weaver of Lies",No,No,No,No,No,"You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 necrotic damage to the target whenever you hit it with an attack. Also, choose one ability when you cast the spell. The target has disadvantage on ability checks made with the chosen ability.<br>&nbsp; If the target drops to 0 hit points before this spell ends, you can use a bonus action on a subsequent turn of yours to curse a new creature.<br>&nbsp; A remove curse cast on the target ends this spell early. At Higher Levels. When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours."
Hide from Animals,1,Abjuration,"Protection, Detection",Up to 5 creatures,Action,Yes,No,1 hour,Touch,"V, S",Yes,,"New,2016-08-04","Beasts,Mirrors",Nature,Yes,No,Yes,"Arachnid,Ashen,Wishcrafter","Ancient Toad,Oberon",No,Barbarian - Bloodrager,Forester,Yes,No,"When you cast this spell, touch up to 5 creatures. Animals cannot sense the warded creatures and simply act as though the warded creatures are not there. If a warded character touches an animal or attacks any creature, even with a spell, the spell ends for all recipients.<br><b>At Higher Levels</b>: When you cast this spell using a spell slot of 2rd level or higher, increase the number of targets of this spell by 1 for each spell slot you cast above level 1."
Hide from Undead,1,Abjuration,"Protection, Detection",Up to 5 creatures,Action,Yes,No,1 hour,Touch,"V, S",Yes,,"New,2016-08-04","Mirrors,Pathfinder chronicler","Yes,Death,Repose,Balanced scale of Abadar",No,No,No,"Dread,Oozemaster,Wishcrafter","Death,Undying",No,No,Archaeologist,Shadowcursed,No,"When you cast this spell, touch up to 5 creatures. Non-intelligent undead cannot sense the warded creatures and simply act as though the warded creatures are not there. If a warded character touches an undead or attacks any creature, even with a spell, the spell ends for all recipients.<br><b>At Higher Levels</b>: When you cast this spell using a spell slot of 2rd level or higher, increase the number of targets of this spell by 1 for each spell slot you cast above level 1."
Hold Monster,5,Enchantment,"Disable, Paralyze",1 target,Action,Yes,No,1 minute,90 ft,"V, S, M (a small, straight piece of iron)",Yes,,PHB,Yes,"Order,Protection,Repose,Strength,Time,Winter,Dwarven rune,Balanced scale of Abadar",No,"Vengeance,Redemption",Monster slayer,"Arachnid,Draconic,Dread,Frozen heart,Incantatrix,Fiendish,Oozemaster,Stone","Dispater,Eternal Citadel,Hesperia,Oberon,Pharaoh,Seducer,Storm Lord,Vampire",Yes,No,"Diplomat,Forester",No,Yes,"Choose a creature that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. This spell has no effect on undead. At the end of each of its turns, the target can make another Wisdom saving throw. On a success, the spell ends on the target.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 6th level or higher, you can target one additional creature for each slot level above 5th. The creatures must be within 30 feet of each other when you target them."
Hold Person,2,Enchantment,"Disable, Paralyze",One humanoid,Action,Yes,No,1 minute,60 ft,"V, S, M (a small, straight piece of iron)",Yes,,PHB,Yes,"Yes,Order,Time",Yes,"Vengeance,Conquest,Lyan,Redemption,Supremacy",Banshee,"Aberrant,Divine soul,Draconic,Dread,Ethereal,Frozen heart,Fiendish,Oozemaster,Star touched,Stone,Time thief","Archfey,Crone,Dispater,Ghost,Jubilex,Pharaoh,Seducer,Storm Lord",Yes,No,Psychologist,No,Yes,"Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another Wisdom saving throw. On a success, the spell ends on the target.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 3rd level or higher, you can target one additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them."
Hold Portal,0,Abjuration,"Utility, Locks&Ropes","Ome door, gate or hatch",Action,Yes,No,1 minute,30 ft,V,No,,New,No,"Protection,Strength",No,No,No,Yes,"Dispater,Eternal Citadel",Yes,No,No,No,No,"You magically hold a door, gate, or hatch shut, as if it had been closed tightly and locked or barred. Strength ability checks to bash the door down are at disadvantage, but this spell is instantly countered by knock.<br>&nbsp; Optionally, this spell can be used to hold a door, gate, or hatch open. Strength checks to force it closed are at a disadvantage."
Holy Aura,8,Abjuration,"Buff, Combat",Self,Action,Yes,No,1 minute,30 ft,"V, S, M (a tiny reliquary worth at least 1,000 gp containing a sacred relic, such as a scrap of cloth from a saint’s robe or a piece of parchment from a religious text)",No,,PHB,"Faith,Masks",Yes,No,No,No,Divine soul,No,No,No,Candlemaker,No,No,"Divine light washes out from you and coalesces in a soft radiance in a 30-foot radius around you. Creatures of your choice in that radius when you cast this spell shed dim light in a 5-foot radius and have advantage on all saving throws, and other creatures have disadvantage on attack rolls against them until the spell ends. In addition, when a fiend or an undead hits an affected creature with a melee attack, the aura flashes with brilliant light. The attacker must succeed on a Constitution saving throw or be blinded until the spell ends."
Holy Hymn,2,Evocation,"Buff, Combat, Save",In range,Action,Yes,No,1 minute,30 ft,"V, S, F (any musical instrument)",No,,"New,2018-10-17",Faith,"Celebration,Survival",No,No,No,No,No,No,No,No,No,No,"You play a song of praise that enheartens your companions and rings like a cacophony in the ears of the unholy. When you cast this spell, you gain your spellcasting modifier in spell song points. Before the duration of the spell elapses, you can expend spell song points (no action required) when certain conditions are met to weave your melodic magic into the action.<br>&nbsp; ♦ When a creature’s turn starts, you can expend a spell song point to heal the creature 1d6 hit points.<br>&nbsp; ♦ When a creature deals damage to a fiend or undead, you can expend a spell song point to make the attack deal an additional 1d6 radiant damage.<br>&nbsp; ♦ Before a creature makes a saving throw, you can expend a spell song point to roll 1d6 and add the result to the saving throw.<br>On any subsequent turn while the spell is still going you can use an action to gain up to your spellcasting modifier in spell song points. You lose all remaining points immediately when this spell ends."
